"Organization Name","Date Approved","AreasServed","ASNs","Action 1Filtering","Action 2Anti-Spoofing","Action 3Coordination","Action 4Routing Information 				 					IRR 					RPKI"
"Viva telecom","26th Apr 2023","BR","267263","1","No data","100%","100% 							 							 								100%"
"Viveza Telecom","6th Jul 2020","BR","267460","1","0","100%","100% 							 							 								100%"
"VLA Telecomunicações","26th Apr 2023","BR","268235","1","0","100%","100% 							 							 								100%"
"VM Provedora de Internet Ltda - InterCanal","7th Jul 2020","BR","264426","1","0","100%","100% 							 							 								100%"
"VNP DIGITAL LTD.","7th Jun 2020","AU, CH, DE, EU, GB, NZ, US","208976","1","No data","100%","100% 							 							 								100%"
"Vocus","19th May 2022","AU,  NZ,  SG,  US","4826","1","49%","100%","58% 							 							 								0%"
"Vocus","6th Apr 2022","AU","9443","1","100%","100%","91% 							 							 								0%"
"VoiceHost Ltd","4th May 2020","GB","31472","1","No data","100%","100% 							 							 								100%"
"Voztelecom Sistemas","7th Sep 2020","ES","29680","1","No data","100%","100% 							 							 								100%"
"VSHosting s.r.o.","25th Aug 2018","CZ","43541","1","No data","100%","100% 							 							 								89%"
"Warian","29th May 2020","IE,  IT,  NL,  ES,  MX","56911","1","49%","100%","100% 							 							 								98%"
"Washington University in Saint Louis","18th Dec 2018","US","2552, 25887","1","100%","100%","100% 							 							 								100%"
"Wavefly","21st Mar 2023","US","400735","1","0","100%","100% 							 							 								100%"
"WAVEMAX INTERNET","16th Dec 2021","BR","263129","1","No data","100%","100% 							 							 								100%"
"wawtelecom","6th Jul 2020","SN","328259","1","0","100%","100% 							 							 								0%"
"WB TELECOM LTDA ME","15th Sep 2020","BR","268210","1","No data","100%","100% 							 							 								100%"
"WDS TELECOM LTDA ME","31st Dec 2019","BR","61583","1","No data","100%","100% 							 							 								0%"
"Webby Internet","16th Mar 2021","BR","262493","1","0","100%","100% 							 							 								0%"
"Weber eBusiness Services GmbH","29th Aug 2019","DE","35710","1","0","100%","96% 							 							 								100%"
"Webmasters Lda","11th Jul 2019","MZ","37697","1","0","100%","100% 							 							 								100%"
"WeNetwork SRL","12th Jul 2020","IT","205891","1","No data","100%","100% 							 							 								100%"
"Wi-Link Solutions Pvt Ltd","26th Apr 2023","PK","141717","1","0","100%","100% 							 							 								0%"
"WicitY srl","9th Jul 2020","IT","59766","1","0","100%","100% 							 							 								100%"
"Wikstrom Telephone Company, Inc.","26th Jun 2023","US","33362","1","No data","100%","100% 							 							 								100%"
"Williams College","12th Oct 2022","US","11399","1","No data","100%","100% 							 							 								63%"
"Wind Hellas Telecommunications","24th Aug 2020","GR","25472, 15617","1","No data","100%","100% 							 							 								24%"
"Windstream Communication Limited","8th Apr 2022","BD","139009","1","No data","100%","100% 							 							 								100%"
"Wireless Connect Ltd.","24th May 2022","IE","62129","1","No data","100%","100% 							 							 								75%"
"WiscNet","27th Aug 2018","US","2381","1","100%","100%","100% 							 							 								10%"
"WISP ECUADOR","7th Jul 2020","EC","52458","1","0","100%","100% 							 							 								100%"
"Wolf Network Lab","10th Jul 2023","JP","205603, 138038","1","0","100%","100% 							 							 								50%"
"Workonline Communications","25th Aug 2018","ZA","37271","1","No data","100%","100% 							 							 								100%"
"World Fast Telecomunicações","3rd May 2021","BR","266387","1","No data","100%","36% 							 							 								100%"
"WR TELECOM","15th Sep 2021","BR","267408","1","0","100%","100% 							 							 								0%"
"Xfone","4th Feb 2019","IL","47956","1","No data","100%","100% 							 							 								100%"
"XGA","19th Jun 2022","GB, IE","205531","1","0","100%","100% 							 							 								100%"
"Xmatica Srl","22nd Aug 2022","IT","60475","1","100%","100%","100% 							 							 								100%"
"XP Tecnologia","15th Apr 2020","BR","266448","1","No data","100%","100% 							 							 								0%"
"XS4ALL","24th Jul 2019","NL","3265","1","No data","100%","100% 							 							 								89%"
"Yahoo Japan","31st Jul 2019","JP","24572","1","No data","100%","100% 							 							 								100%"
"Yukon University","8th Feb 2021","CA","7885","1","No data","100%","100% 							 							 								100%"
"YUZHEN NETWORK INC.","26th Apr 2023","AU, CA, CN, GB, HK, SG, TW, US","211390","1","0","100%","100% 							 							 								100%"
"Zaledia.com","22nd Jan 2019","CH","207149","1","No data","100%","100% 							 							 								100%"
"ZAP","18th Dec 2019","AO","37645","1","0","100%","0"
"Zapelini & Cia. Ltda","24th Jan 2019","BR","263018","1","No data","100%","100% 							 							 								0%"
"Zayo","25th Aug 2018","US","6461","1","No data","100%","0"
"ZAZ NATAL","3rd Jun 2020","BR","266388","1","No data","100%","100% 							 							 								100%"
"ZH Network","13th Jun 2022","CN, DE, GB, US","210320","1","0","1","1"
"Ziconet","7th Jul 2020","BR","61895","1","0","100%","100% 							 							 								0%"
"ЗАО ""Системы Телеком""","7th Jul 2020","RU","50776","1","0","100%","100% 							 							 								0%"
